Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
úffeldi,,na,hk,Eintala,,,,,,,cap product,cup product,,,,,,,,,5750
úfur,,na,kk,Eintala,,,,,,,cap,(the symbol \(\cup\)) cup,,,,,,,,,5751
umáttun,,na,kvk,Eintala,,,,,,,,reorientation,,,,,,,,,5752
umbunarfall,,na,hk,Eintala,,,,,,,,"reward function, yield function",,,,,,,,,5753
"umfangsfrumsenda, umfangsfrumsetning, frumsenda um umfang, frumsetning um umfang",,na,kvk,Eintala,,,,,,,,axiom of extensionality,,,,,,,,,5754
"umferðarheildi, umferðartegur",,na,hk,Eintala,,,,,,,,circulation,,,,,,,,,5755
"umhverf tala, umhverfa, margföldunarumhverfa, andhverf tala, andhverfa, margföldunarandhverfa, gagnkvæm tala",,na,kvk,Eintala,,,,,,,,"inverse number, reciprocal number",,,,,,,,,5756
"umhverfa, andhverfa",,na,kvk,Eintala,,,,,,,"additive inverse, multiplicative inverse, inverse matrix, inverse number","(with respect to an operation) inverse, inverse element, reciprocal, reciprocal element",,,,,,,,,5757
"umhverfanlegt fylki, andhverfanlegt fylki, reglulegt fylki, ósérstætt fylki",,na,hk,Eintala,,,,,,,,"invertible matrix, non-singular matrix, regular matrix",,,,,,,,,5758
"umhverfanlegur, andhverfanlegur",,ls,kk,Eintala,,,,,,,inverse,(of an element in a monoid) invertible,,,,,,,,,5759
"umhverfanlegur, andhverfanlegur, reglulegur, ósérstæður",,ls,kk,Eintala,,,,,,,non-singular matrix,(of a matrix)) non-singular,,,,,,,,,5760
umhverfður veldisvísisferill,,na,kk,Eintala,,,,,,,,logistic curve,,,,,,,,,5761
umhverfing,,na,kvk,Eintala,,,,,,,,(of an implication) inverse,,,,,,,,,5762
umhverfing,,na,kvk,Eintala,,,,,,,,(forming an inverse) inversion,,,,,,,,,5763
"umhverfingarhringur, spegilhringur",,na,kk,Eintala,,,,,,,,circle of inversion,,,,,,,,,5764
"umhverfingarmiðja, speglunarmiðja",,na,kvk,Eintala,,,,,,,,centre of inversion,,,,,,,,,5765
umhverft brot,,na,hk,Eintala,,,,,,,,inverse fraction,,,,,,,,,5766
"umhverft fall, marföldunarumhverfa falls, margföldunarandhverfa falls",,na,,Eintala,,,,,,,,reciprocal function,,,,,,,,,5767
umhverfur,,ls,kk,Eintala,,,,,,,,"(with respect to an operation) inverse, reciprocal",,,,,,,,,5768
"umhverfur, margföldunarumhverfur, andhverfur, margföldunarandhverfur",,ls,kk,Eintala,,,,,,,,(with respect to a multiplication) reciprocal,,,,,,,,,5769
"umhverfuröð, þýð röð",,na,kvk,Eintala,,,,,,,,harmonic series,,,,,,,,,5770
"umkvörðun, kvarðafærsla, kvarðabreyting",,na,kvk,Eintala,,,,,,,,gauge transformation,,,,,,,,,5771
"umlykja, fela í sér, innifela",,sag,,,,,,,,,contain,include,,,,,,,,,5772
umlykjandi,,ls,,,,,,,,,,ambient,,,,,,,,,5773
ummál,,na,hk,Eintala,,,,,,,,"circumference, perimeter",,,,,,,,,5774
ummálsjafnaðarójafna,,na,kvk,Eintala,,,,,,,,isoperimetric inequality,,,,,,,,,5775
ummálsjafnaðarverkefni,,na,hk,Eintala,,,,,,,,isoperimetric problem,,,,,,,,,5776
"ummálsregla, hálfhornsregla",,na,kvk,Eintala,,,,,,,,half-angle formula,,,,,,,,,5777
