Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
andeinsmóta|ls|hk|Eintala||||||||antiisomorphic|||||||
andeinsmótun|na|kvk|Eintala||||||||antiisomorphism|||||||
andlínulegur|ls|kk|Eintala||||||||antilinear||||conjugate linear|||
andlogri|na||Eintala||||||||antilogarithm||||inverse logarithm|||
andsamsíða|ls|hk|Fleirtala||||||||antiparallel|||||||
andfætisvörpun|na||Eintala||||||||antipodal mapping|||||||
andfætispunktar|na||Eintala||||gagnstæðir punktar||||antipodal points|||||||
andsjálfhverfur|ls|kk|Eintala||||||||antireflexive||||inflexive, irreflective, irreflexive|||
andsamhverfur|ls|kk|Eintala||||oddhverfur||||antisymmetric||||antisymmetrical, skew-symmetric, skew-symmetrical|||
andsamhverfur|ls|kk|Eintala|||||||asymmetric|antisymmetric||||antisymmetrical|||
andsamhverft tvílínulegt form|na|hk|Eintala||||oddhverft tvílínulegt form|||alternating bilinear form, inner product, scalar product|antisymmetric bilinear form||||skew-symmetric bilinear form|||
andsamhverft fall|na|hk|Eintala||||oddhverft fall|||alternating function|antisymmetric function|||||||
andsamhverft fylki|na|hk|Eintala|||||||alternating matrix|antisymmetric matrix|||||||
andsamhverf marglínuleg vörpun|na|kvk|Eintala||||oddhverf marglínuleg vörpun||||antisymmetric multilinear mapping|||||||
andsamhverf vensl|na|hk|Fleirtala||||||||antisymmetric relation|||||||
arkarfall|na|hk|Eintala||||bogafall||||antitrigonometric function||||arc-trigonometric function, cyclometric function, inverse circular function, inverse trigonometric function|||
arkarkósínus|na|kk|Eintala||||||||arc cosine||||inverse cosine|||
arkarkótangens|na||Eintala||||||||arc cotangent||||inverse cotangent|||
arkarsínus|na|kk|Eintala||||||||arc sine||||inverse sine|||
arkartangens|na|kk|Eintala||||||||arc tangent||||inverse tangent|||
arkimedískt raðsvið|na||Eintala||||arkimedískt raðað svið||||Archimedean ordered field|||||||
arkimedískt algildi|na||Eintala||||arkimedísk virðing|||absolute value, valuation|Archimedean valuation||||Archimedean absolute value|||
andhverfur breiðbogakósínus|na|kk|Eintala||||||||area-hyperbolic cosine||||inverse hyperbolic cosine|||
andhverfur breiðbogakótangens|na|kvk|Fleirtala||||||||area-hyperbolic cotangent||||inverse hyperbolic cotangent|||
andhverfur breiðbogasínus|na|kk|Eintala||||||||area-hyperbolic sine||||inverse hyperbolic sine|||
andhverfur breiðbogatangens|na|kk|Eintala||||||||area-hyperbolic tangent||||inverse hyperbolic tangent|||
armur|na|kk|Eintala||||||||arm||||lateral side, leg, side|||
afturmunur|na|kk|Eintala||||||||ascending difference||||backward difference|||
aðfella|na|kvk|Eintala||||||||asymptote|||||||
aðfelldur|ls|kk|Eintala||||aðfellu-||||asymptotic|||||||
aðfelluhringur|na|kk|Eintala||||||||asymptotic circle|||||||
aðfellustefna|na|kvk|Eintala||||aðfelluátt||||asymptotic direction|||||||
aðfelluskilvirkni|na|kvk|Eintala||||||||asymptotic efficiency|||||||
aðfelluliðun|na|kvk|Eintala||||aðfelld liðun||||asymptotic expansion|||||||
