Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
oddstæður|ls|kvk|Fleirtala|||||||even|odd|||||||
odda-|ls||Eintala||||ójafn, hvass|||even|odd|||||||
oddstæður|ls|kvk|Fleirtala|||||||even|odd|||||||
oddatala|na|kvk|Eintala||||ójöfn tala, hvöss tala|||even number|odd number||||odd integer, uneven integer, uneven number|||
oddstæðni|na||Eintala||||oddleiki, hvassleiki||||oddness|||||||
opinn|ls|kk|Eintala||||||||open|||||||
opin kúla|na||Fleirtala||||||||open ball|||||||
opin þakning|na|kvk|Eintala||||||||open covering|||||||
opinn ferill|na|kk|Eintala||||||||open curve|||||||
opin hringskífa|na||Fleirtala||||||||open disk|||||||
opin segð|na|kvk|Eintala||||opin fullyrðing, opin yrðing|||non-closed formula|open formula||||open statement|||
opið hálfrúm|||Eintala||||||||open half-space|||||||
opið bil|na|hk|Eintala||||||||open interval|||||||
opin vörpun|na|kvk|Eintala||||||||open mapping|||||||
opin grennd|na|kvk|Eintala||||||||open neighbourhood|||||||
opið mengi|na||Eintala||||opið hlutmengi||||open set||||open subset, region|||
opinn forgrunnur|na|kk|Eintala||||||||open subbase|||||||
opið hlutrúm|ls|hk|Fleirtala||||||||open subspace|||||||
opinn flötur|na|kk|Eintala||||||||open surface|||||||
opinleiki|na||Eintala||||||||openness|||||||
ofanvarp|na|hk|Eintala|||||||canonical projection, central projection, conditional expectation, conic projection, natural projection, orthogonal projection, parallel projection, projection operator, stereographic projection|projection|||||||
ofanvarpi|sag||Eintala||||ofanvarp|||projection|projection operator||||projector|||
ofanvarpslína|na|kvk|Eintala||||||||projector|||||||
ofurendanleg þrepunarsönnun|na|kvk|Eintala||||ofurendanleg þrepasönnun||||proof by transfinite induction|||||||
ofaukinn|ls|kk|Eintala||||óþarfur||||redundant|||||||
ofurendanlegur|ls|kk|Eintala|||||||infinite|transfinite|||||||
ofurendanleg þrepun|na|kvk|Eintala|||||||transfinite recursion|transfinite induction|||||||
ofurendanleg tala|ls|hk|Fleirtala|||||||transfinite cardinal, transfinite ordinal|transfinite number|||||||
ofurendanleg rakning|na|kvk|Eintala|||||||transfinite induction|transfinite recursion|||||||
ofurveldi|na|hk|Eintala||||||||ultra power|||||||
ofursía|na|kvk|Eintala||||||||ultrafilter|||||||
ofurbreiðger|ls|hk|Eintala||||||||ultrahyperbolic|||||||
ofurfirð|na||Eintala||||||||ultrametric|||||||
ofurfirðrúm|na||Eintala||||||||ultrametric space|||||||
ofurfirðarójafna|na|kvk|Eintala||||sterk þríhyrningsójafna||||ultrametric triangle inequality|||||||
ofurmargfeldi|na|hk|Eintala||||ofurfeldi||||ultra-product||||ultra product|||
oddpunktur|na|kk|Eintala||||topppunktur, broddur||||vertex|||||||
orð|na|hk|Eintala|||||||string|word|||||||
orðalengd|na||Eintala||||||||word length|||||||
orðaverkefni|na|hk|Eintala||||||||word problem|||||||
plús|na|kk|Eintala||||plúsmerki, samlagningarmerki|||summation sign|addition sign||||plus, plus sign, sign of addition|||
prósentustöplarit, hlutfallsstöplarit|||Eintala||||||||band chart|||||||
próf|na|hk|Eintala||||||||criterion|||||||
prófhending|na|kvk|Eintala||||||||critical function||||test function|||
punktur sem er ekki hvarfpunktur|na|kk|Eintala|||||||critical point|non-critical point|||||||
paraður samanburður|na|kk|Eintala||||||||paired comparison|||||||
prósent|na|hk|Eintala||||hundraðshluti, hundraðstala||||percent|||||||
prósenta|na|kvk|Eintala||||||||percentage|||||||
prósentureikningur|na|kk|Eintala||||||||percentage calculation|||||||
pí (\(\pi\))|na||Eintala||||||||pi (\(\pi\))|||||||
platónskur|ls|kk|Eintala||Einnig ritað með upphafsstaf: {\it Platonic}||||||platonic|||||||
platónskt net|na|hk|Eintala||||||||platonic graph|||||||
plúsformerki|na||Eintala||||jákvætt formerki||||plus||||plus sign, positive sign|||
punktur|na|kk|Eintala||||depill|||accessible boundary point, accumulation point, acnodal point, adherent point, base point, bending point, bisecting point, boundary point, branch point, break point, central point, cluster point, complex point, condensation point, conjugate point, critical point, decimal point, dividing point, double point, end point, equilibrium point, essential singular point, exterior point, extremal point, extreme point, extremum point, fixed point, flat point, flex point, frontier point, fundamental point, general point, generic point, global extremum point, global maximum point, global minimum point, hyperbolic point, ideal point, inaccessible boundary point, inessential singular point, infinite point, inflection point, inflexion point, initial end-point, initial point, inner point, interior point, invariant point, inverse point, irregular singular point, isolated point, isolated singular point, left end point, limit point, limiting point, logarithmic branch point, maximum point, median point, mesh point, middle point, midpoint, minimum point, multiple point, non-critical point, optimum point, ordinary point, parabolic point, planar point, polar point, proper point, radix point, ramification point, range of points, real point, regular point, regular singular point, removable singular point, right end point, running point, saddle point, self-intersection point, significance point, simple point, singular point, space point, spherical point, stationary point, terminal point, turning point, umbilical point, vortex point|point|||||||
punktmat|na|hk|Eintala||||stakt mat||||point estimate|||||||
punktferli|na|hk|Eintala||||||||point process|||||||
punktaröð|na|kvk|Eintala||||punktavöndur||||point range||||range of points|||
punktamengi|sag||Eintala||||mengi|||set|point set|||||||
punktað mengi|ls|hk|Eintala||||||||pointed set|||||||
punktað rúm|na|hk|Eintala||||||||pointed space|||||||
pólskt rúm|na|hk|Eintala||||||||Polish space|||||||
pýþagórsk aljafna|na||Eintala||||||||pythagorean identity|||||||
pýþagórskur þríhyrningur|na||Eintala||||||||pythagorean triangle|||||||
pýþagórsk þrennd|na||Eintala||||||||pythagorean triple|||||||
próf|na|hk|Eintala||||||||test|||||||
prófunarfall|na|hk|Eintala||||||||test function|||||||
Picard-setningin meiri|na||Eintala||||stóra Picard-setningin|||little Picard theorem|great Picard theorem|||||||
Phragmén-Lindelöf-fall|na|hk|Eintala||||vísifall||||indicator function||||Phragmén-Lindelöf function|||
Picard-setningin minni|na||Eintala||||litla Picard-setningin|||great Picard theorem|little Picard theorem|||||||
Papposar-|ls||Eintala||||pappeskur||||Pappian|||||||
Papposarslétta|na||Eintala||||pappesk slétta||||Pappian plane|||||||
Papposarregla|na||Eintala||||||||Pappus's rule|||||||
Papposarsetning|na||Eintala||||setning Papposar||||Pappus's theorem|||||||
Pascal-þríhyrningur|na|kk|Eintala||||þríhyrningur Pascals||||Pascal's triangle|||||||
Peano-talnafræði|na|kvk|Eintala||||Peano-reikningur||||Peano arithmetic|||||||
Peano-ferill|na|kk|Eintala||||||||Peano curve|||||||
Pfaff-ákveða|na|kvk|Eintala||||||||pfaffian|||||||
Pfaff-ferill|na|kk|Eintala||||||||pfaffian|||||||
Pfaff-form|na|hk|Eintala||Einnig ritað með upphafsstaf: {\it Pfaffian}||\(1\)-deildaform, \(1\)-diffurform||||pfaffian||||pfaffian form|||
Poisson-dreifing|na|kvk|Eintala||||||||Poisson distribution|||||||
Poisson-ferli|na|hk|Eintala||||||||Poisson process|||||||
Pýþagórasarregla|na|kvk|Eintala||||setning Pýþagórasar||||Pythagoras's theorem||||Pythagorean theorem, theorem of Pythagoras|||
Pýþagórasarsvið|na|hk|Eintala||||pýþagórskt svið||||pythagorean field|||||||
reikniborð|na|hk|Eintala||||reiknibretti||||abacus|||||||
ríkuleg tala|ls|hk|Fleirtala||||||||abundant number||||superfluous number|||
reiknirit|na|hk|Eintala||||algórismi, reikningsaðferð||||algorithm||||algorism|||
reiknirit Evklíðs|na|hk|Eintala||||keðjudeiling||||algorithm of Euclid||||euclidean algorithm|||
reiknirits-|ls||Eintala||||reikni-||||algorithmic|||||||
reiknimynd|na|kvk|Eintala||||||||alignment chart||||nomograph, nomographic chart, nomogram, map|||
raunfágaður|ls|kk|Eintala||||||||analytic||||analytical, real analytic|||
raunfágað fall|na|hk|Eintala||||||||analytic function||||real analytic function|||
raunfáguð víðátta|na|kvk|Eintala||||||||analytic manifold||||real analytic manifold|||
raunfágað rúm|na|hk|Eintala||||||||analytic space||||real analytic space|||
raunfágað mynstur|na|hk|Eintala||||||||analytic structure||||real analytic structure|||
rökleiðsla|na|kvk|Eintala||||röksemdafærsla|||proof|argument|||||||
reiknings-|ls||Eintala||||reikni-||||arithmetic||||arithmetical|||
reikningur|na|kk|Eintala||||talnareikningur, reikningslist, tölvísi||||arithmetic|||||||
reikningsaðgerð|na|kvk|Eintala||||grunnreikningsaðgerð|||elementary operation|arithmetic operation|||||||
reikningsdæmi|na|hk|Eintala||||||||arithmetic problem|||||||
reiknimeistari|na|kk|Eintala||||reikningsmaður, reikningsgarpur||||arithmetician|||||||
raða|sag||Eintala||||||||arrange|||||||
ris|na|hk|Eintala||||||||ascent|||||||
risaðferð|na|kvk|Eintala||||||||ascent method|||||||
risskref|na|hk|Eintala||||||||ascent step|||||||
röðunarfrumsenda|na|kvk|Eintala||||raðfrumsenda, röðunarfrumsetning, raðfrumsetning|||axiom of betweenness, betweenness axiom|axiom of order||||order axiom|||
reitur|na|kk|Eintala||||||||block|||||||
reitahögun|na|kvk|Eintala||||||||block design|||||||
reitarit|na|hk|Eintala|||||||area histogram, bar chart, bar diagram, bar graph, column diagram, histogram|block diagram|||||||
reitafylki|na|hk|Eintala||||||||block matrix||||hypermatrix, partition matrix, partitioned matrix|||
reiknanlegur|ls|kk|Eintala||||||||calculable|||||||
reikna|na||Eintala||||reikna út||||calculate|||||||
reikniaðferð|na|kvk|Eintala||||||||calculating method|||||||
reikniregla|na|kvk|Eintala||||||||calculating rule||||computing rule, rule of arithmetic|||
reiknivél|na|kvk|Eintala||||reiknir|||computer|calculator||||calculating machine, computing machine|||
reiknimeistari|na|kk|Eintala||||reikningsmeistari||||calculator|||||||
rökreikningur|na|kk|Eintala|||||||predicate calculus, propositional calculus|calculus|||||||
ríki|na||Eintala||||||||category|||||||
ríki af ríkjum|na|hk|Fleirtala||||ríkjaríki||||category of categories|||||||
ríkjafræði|na|kvk|Eintala||||||||category theory|||||||
rás|na|hk|Eintala||||rásuð uppstokkun, rásuð umröðun||||circular permutation||||cycle, cyclic permutation|||
réttsælis|at||Eintala||||sólarsinnis||||clockwise|||||||
rás|na|hk|Eintala||||lokuð keðja||||closed chain||||cycle|||
raðfylgnistuðull|na|kk|Eintala|||||||Kendall rank correlation coefficient, Spearman rank correlation coefficient|coefficient of rank correlation||||rank correlation coefficient|||
reiknanleiki|na||Eintala||||||||computability|||||||
reiknanleikafræði|na||Eintala|||||||recursive function theory|computability theory|||||||
reikni-|ls||Eintala||||||||computational|||||||
reikniskekkja|na|kvk|Eintala|||||||miscalculation|computational error|||||||
reikna|sag||Eintala||||reikna út||||compute|||||||
rétthyrnd dreifing|na|kvk|Eintala||||||||continuous uniform distribution||||rectangular distribution|||
raundreifingarfall|na|hk|Eintala||||hlutfallslegt safntíðnifall, mælt dreifingarfall|||cumulative frequency function, relative frequency function|cumulative relative frequency function||||empirical distribution function|||
rót|na|hk|Eintala||||||||curl||||rotation|||
rásaður|ls|kk|Eintala||||||||cyclic|||||||
rásuð útvíkkun|na|kvk|Eintala||||rásuð víkkun||||cyclic extension|||||||
rásað svið|na|hk|Eintala||||||||cyclic field|||||||
rásaframsetning|na|kvk|Eintala||||||||cyclic form|||||||
rásuð grúpa|na|kvk|Eintala||||||||cyclic group|||||||
rásaður ferhyrningur|na|kk|Eintala||||hringferhyrningur||||cyclic quadrangle|||||||
rásað rúm|na|hk|Eintala||||||||cyclic space|||||||
rásað hlutmengi|na|hk|Eintala||||||||cyclic subclass|||||||
rásaður turn|na|kk|Eintala||||||||cyclic tower|||||||
rásaður vigur|na|kk|Eintala||||rásaður vektor||||cyclic vector|||||||
reikningur í tugakerfi|na|kk|Eintala||||||||decimal arithmetic|||||||
rökleiðsluregla|na|kvk|Eintala||||rökregla, ályktunarregla, afleiðsluregla||||deductive rule||||derivative rule, inference rule, rule of derivation, rule of inference|||
ráðinn|ls||Eintala||||ákveðinn|||negative definite, positive definite|definite|||||||
rit|na|hk|Eintala|||||||bar diagram, block diagram, column diagram, correlation diagram, dispersion diagram, Dynkin diagram, flow diagram, frequency diagram, scatter diagram|diagram|||||||
réttsýnishringur|na|kk|Eintala||||||||director circle||||orthoptic circle|||
reikningur í tylftakerfi|na|kk|Eintala||||||||duodecimal arithmetic|||||||
rúmmálsfrymi|na|hk|Eintala||||||||element of volume||||volume element|||
rúmfræði fjölda|na|kvk|Eintala||||talningarrúmfræði||||enumerative geometry|||||||
reisa|sag|kvk|Eintala||||||||erect|||||||
rífkandi|ls||Eintala||||||||expansive|||||||
rökvilla|na|kvk|Eintala||||||||fallacy||||paralogism|||
rauntalnasvið|na|hk|Eintala||||||||field of real numbers||||real field, real number field|||
rúm sem fullnægir fyrri teljanleikafrumsendu|na||Eintala||||||||first countable space|||||||
rökfræði fyrstu stéttar|na|kvk|Eintala||||||||first-order logic|||||||
rammi|na||Eintala|||||||basis|frame|||||||
rammasvið|na|hk|Eintala||||||||frame field|||||||
reiknirit Gauss|na|hk|Eintala||||útrýmingaraðferð Gauss, eyðingaraðferð Gauss||||Gauss elimination method||||Gaussian algorithm|||
rúmfræðilegur|ls|kk|Eintala||||rúmfræði-||||geometric||||geometrical|||
rúmfræðilegt meðaltal|na|hk|Eintala||||faldmeðaltal|||mean proportional|geometric mean||||geometric average|||
rúmfræði|na|kvk|Eintala|||||||absolute geometry, affine geometry, algebraic geometry, analytic geometry, analytical geometry, cartesian geometry, combinatorial geometry, complex geometry, conformal geometry, coordinate geometry, descriptive geometry, differential geometry, elementary geometry, elliptic geometry, enumerative geometry, euclidean geometry, hyperbolic geometry, incidence geometry, intrinsic geometry, inversive geometry, metric geometry, Minkowski geometry, Möbius geometry, neutral geometry, non-archimedean geometry, non-euclidean geometry, parabolic geometry, plane geometry, projective geometry, pure geometry, real geometry, Riemannian differential geometry, Riemannian geometry, solid geometry, spherical geometry, spherics, stereometry, synthetic geometry|geometry|||||||
rúmfræði talna|na|kvk|Eintala||||||||geometry of numbers|||||||
raðfylgni|na|kvk|Eintala||||||||grade correlation||||rank correlation|||
reglulegt net|na|hk|Eintala||||||||homogeneous graph||||regular graph|||
reikul runa|ls|hk|Fleirtala||||hvarflandi runa||||improperly divergent sequence||||oscillating sequence|||
rótarvísir|na|kk|Eintala||||||||index|||||||
reglulegur sérstöðupunktur|na|kk|Eintala||||||||inessential singularity||||point of determinacy, point of determination, regular singular point, regular singularity|||
reglulegur að innan|ls|kk|Eintala||||||||inner regular|||||||
rótlaus|ls|kvk|Eintala||||rótvana, hvirflalaus||||irrotational||||lamellar, non-rotational, non-vortical|||
runa|na|kvk|Eintala||||samstæða||||iteration||||run|||
raðfylgnistuðull Kendalls|na|kk|Eintala||||||||Kendall rank correlation coefficient|||||||
rökfræði|na|kvk|Eintala||||||||logic|||||||
rökfræðilegur|ls|kk|Eintala||||rök-, röklegur, rökrænn||||logical|||||||
rökalgebra|na|kvk|Eintala||||||||logical algebra|||||||
rökfrumsenda|na|kvk|Eintala||||rökfrumsetning|||axiom, mathematical axiom, non-logical axiom, proper axiom|logical axiom|||||||
röktenging|na|kvk|Eintala||||röktengill, tengill, tenging||||logical connective|||||||
rökfasti|||Eintala||||||||logical constant|||||||
rökaðgerð|na|kvk|Eintala||||||||logical operation|||||||
rökvirki|sag||Eintala||||||||logical operator|||||||
röktákn|na|hk|Eintala||||||||logical symbol|||||||
rökbreyta|na|kvk|Eintala||||||||logical variable|||||||
rökhyggja|na|kvk|Eintala||||||||logicism|||||||
rökfesta|na|kvk|Eintala||||stærðfræðileg rökfesta||||mathematical rigor||||rigor|||
réttsköpuð stæða|na|kvk|Eintala|||||||expression, meaningful formula|meaningful expression|||||||
réttsköpuð segð|na|kvk|Eintala||||segð|||expression, formula, meaningful expression, proposition, sentence, statement|meaningful formula||||well-formed formula|||
risaðferð|na|kvk|Eintala|||||||gradient method, method of steepest ascent|method of ascent|||||||
reikningsaðferð|na|kvk|Eintala||||||||method of computation|||||||
rangstöðuaðferð|na|kvk|Eintala||||||||method of false position||||regula falsi, rule of false position|||
risaðferð mesta bratta|na|kvk|Eintala|||||||gradient method|method of steepest ascent||||steepest ascent method|||
rakin nálgunaraðferð|na|kvk|Eintala||||||||method of successive approximations|||||||
reiknivilla|na|kvk|Eintala|||||||computational error|miscalculation|||||||
reiknimyndafræði|na||Eintala||||||||nomography|||||||
reglulegt gildi|ls|hk|Eintala||||||||non-critical value||||regular value|||
reglulegt keilusnið|na|hk|Eintala||||||||non-degenerate conic section||||regular conic section|||
ritháttur|na|kk|Eintala||||||||notation|||||||
röð|na|kvk|Eintala||||þrep||||order|||||||
röð|na|kvk|Eintala||||þrep||||order|||||||
raðstig|na|hk|Eintala||||||||order|||||||
röðun|na|kvk|Eintala||||hlutröðun, raðvensl||||order||||order relation, ordering, partial order, partial ordering|||
raða|sag||Eintala||||||||order|||||||
röðunarsjálfmótun|na|kvk|Eintala||||raðsjálfmótun||||order automorphism|||||||
röðunareinsmótun|na|kvk|Eintala||||raðeinsmótun||||order isomorphism|||||||
raðrækinn|ls|kk|Eintala|||||||increasing|order preserving||||order-preserving|||
raðhending|na|kvk|Eintala||||sætishending||||order statistic|||||||
raðmynstur|na|hk|Eintala||||||||order structure|||||||
röðunargrannmynstur|na|hk|Eintala||||||||order topology|||||||
raðgerð|na|kvk|Eintala||||||||order type|||||||
raðanleiki|na||Eintala||||||||orderability|||||||
raðanlegur|ls|kk|Eintala||||||||orderable|||||||
raðaður|ls|kk|Eintala||||rað-||||ordered|||||||
raðvildarslétta|na|kvk|Eintala||||röðuð vildarslétta||||ordered affine plane|||||||
raðaður grunnur|na|kk|Eintala||||raðgrunnur||||ordered basis|||||||
raðsvið|na|hk|Eintala||||raðað svið, raðkroppur, raðaður kroppur||||ordered field|||||||
raðgrúpa|na|kvk|Eintala||||röðuð grúpa||||ordered group|||||||
röðuð \(n\)-d|||Eintala||||röðuð \(n\)-und, \(n\)-d, \(n\)-und|||tuple|ordered \(n\)-tuple||||\(n\)-tuple|||
röðuð skipting|na|kvk|Eintala||||||||ordered partition|||||||
raðslétta|na|kvk|Eintala||||||||ordered plane|||||||
raðvarpslétta|na|kvk|Eintala||||röðuð varpslétta||||ordered projective plane|||||||
raðað úrtak|na|hk|Eintala||||||||ordered sample|||||||
raðað mengi|ls|hk|Eintala||||raðmengi, hlutraðað mengi, hlaðmengi||||ordered set||||partially ordered set, poset|||
raðhyrna|na|kvk|Eintala||||||||ordered simplex|||||||
raðþrennd|na|kvk|Eintala||||þrennd, röðuð þrennd||||ordered triple||||ordered triplet|||
raðeinsmótun|na|kvk|Eintala||||||||order-isomorphism|||||||
raðtölu-|ls||Eintala||||||||ordinal|||||||
raðtölureikningur|na|kk|Eintala||||||||ordinal arithmetic|||||||
raðtala|na|kvk|Eintala||||||||ordinal number||||ordinal|||
raðkvarði|na|kk|Eintala||||raðstigi||||ordinal scale|||||||
raðtöluruna|na|kvk|Eintala||||||||ordinal series|||||||
reglulegur að utan|ls|kk|Eintala||||||||outer regular|||||||
rammanleiki|na||Eintala||||||||parallelizability|||||||
rammanlegur|ls|kk|Eintala||||||||parallelizable|||||||
ramma|sag||Eintala||||||||parallelize|||||||
raðaður|ls|kk|Eintala||||hlutraðaður||||partially ordered|||||||
refsifall|na||Eintala||||||||penalty function|||||||
reglulegur margflötungur|na|kk|Eintala||||platónskur margflötungur||||platonic body||||platonic solid, regular polyhedron, regular solid|||
regla|na|kvk|Eintala||||lögmál||||principle|||||||
runa|na|kvk|Eintala||||töluhlaup|||arithmetic progression, geometric progression, sequence, sequence|progression|||||||
rót|na|hk|Eintala|||||||solution by radicals, surd|radical||||radix, root|||
rót|na|hk|Eintala||||||||radical|||||||
rótaríðal|na||Eintala||||||||radical ideal|||||||
rótarmerki|na|hk|Eintala||||||||radical sign||||radical, root sign|||
rótarstofn|na|kk|Eintala||||||||radicand|||||||
ræður|ls||Eintala||||||||rational|||||||
ræður ferill|na|kk|Eintala||||||||rational curve||||unicursal curve|||
rætt fall|na|hk|Eintala||||||||rational function|||||||
ræð tala|ls|hk|Fleirtala||||||||rational number|||||||
raun-|ls||Eintala||||||||real|||||||
raungildur|ls|kk|Eintala||||||||real|||||||
raunfallagreining|na|kvk|Eintala||||raungreining||||real analysis|||||||
raunlokun|na|kvk|Eintala||||||||real closure|||||||
raunfall|na|hk|Eintala||||raungilt fall, rauntölugilt fall||||real function||||real-valued function|||
raunrúmfræði|na|kvk|Eintala||||||||real geometry|||||||
raunlína|na|kvk|Eintala||||||||real line|||||||
raunfylki|na|hk|Eintala||||rauntalnafylki||||real matrix|||||||
rauntala|na|kvk|Eintala||||||||real number|||||||
rauntalnaslétta|na|kvk|Eintala||||||||real number plane|||||||
rauntalnarúm|na|hk|Eintala|||||||cartesian space, complex number space, euclidean space, number space|real number space|||||||
rauntalnakerfi|na|hk|Eintala|||||||real number field|real number system|||||||
raunhluti|sag||Eintala|||||||Re|real part|||||||
raunslétta|na|kvk|Eintala||||||||real plane|||||||
raunpunktur|na|kk|Eintala||||||||real point|||||||
raunvarplína|na|kvk|Eintala||||varplína yfir rauntölurnar||||real projective line|||||||
raunvarpslétta|na|kvk|Eintala||||varpslétta yfir rauntölurnar||||real projective plane|||||||
raunvarprúm|na|hk|Eintala||||varprúm yfir rauntölurnar||||real projective space|||||||
raunbreyta|na|kvk|Eintala||||raunbreytistærð||||real variable|||||||
raunvigurrúm|na|hk|Eintala||||raunlínulegt rúm, vigurrúm yfir rauntölurnar, línulegt rúm yfir rauntölurnar||||real vector space||||real linear space|||
raungildur|ls|kk|Eintala||||rauntölugildur||||real-valued||||real valued|||
rétthyrningur|na|kk|Eintala||||||||rectangle|||||||
rétthyrndur|ls|kk|Eintala||||||||rectangular|||||||
réttur|ls|kk|Eintala||||||||rectangular|||||||
rétthyrni|na|hk|Eintala||||||||rectangularity|||||||
réttanlegur|ls|kk|Eintala||||||||rectifiable|||||||
réttanlegur ferill|na|kk|Eintala||||||||rectifiable curve|||||||
réttilína|na||Eintala||||||||rectifying line|||||||
réttislétta|na||Eintala||||||||rectifying plane|||||||
rakning|na|kvk|Eintala|||||||induction|recursion||||recurrence|||
rakningarformúla|na|kvk|Eintala||||||||recursion formula||||recurrence formula|||
rakningarfræði|na|kvk|Eintala|||||||recursive function theory|recursion theory|||||||
rakinn|ls||Eintala||||||||recursive|||||||
rakið reiknirit|na|hk|Eintala||||||||recursive algorithm|||||||
rakið fall|na|hk|Eintala||||||||recursive function|||||||
rakin umsögn|na|kvk|Eintala||||||||recursive predicate|||||||
rakin vensl|na|hk|Fleirtala||||||||recursive relation|||||||
rakin runa|ls|hk|Fleirtala||||||||recursive sequence|||||||
rakið mengi|na||Eintala||||||||recursive set|||||||
rekjanlega teljanlegur|||Eintala||||||||recursively enumerable|||||||
ryðja|sag||Eintala||||||||reduce|||||||
rudd algebra|na|kvk|Eintala||||||||reduced algebra|||||||
rudd stallagerð|na|kvk|Eintala||||rudd þrepagerð, rudd þrepaskipan||||reduced echelon form|||||||
rutt leifakerfi|na|hk|Eintala||||||||reduced residue system|||||||
ruðningur|na|kk|Eintala||||||||reduction|||||||
reglulegur|ls|kk|Eintala||||||||regular|||||||
reglulegur ferilbogi|ls|kk|Eintala||||||||regular arc|||||||
regluleg skilyrt dreifing|na|kvk|Eintala||||||||regular conditional distribution|||||||
reglulegur ferill|na|kk|Eintala|||||||regular algebraic curve, regular analytic curve|regular curve|||||||
reglulegur tólfflötungur|na|kk|Eintala||||||||regular dodecahedron|||||||
reglulegur tvítugflötungur|||Eintala||||||||regular icosahedron|||||||
reglulegt mál|na|hk|Eintala||||||||regular measure|||||||
reglulegur áttflötungur|||Eintala||||||||regular octahedron|||||||
reglulegur punktur|na|kk|Eintala|||||||ordinary point, simple point|regular point|||||||
reglulegur marghyrningur|na|kk|Eintala||||reglulegur hyrningur||||regular polygon|||||||
reglulegur strendingur|na|kk|Eintala||||||||regular prism|||||||
regluleg strýta|na|kvk|Eintala||||reglulegur píramíti||||regular pyramid|||||||
reglulegt rúm|na|hk|Eintala||||||||regular space|||||||
reglulegur fjórflötungur|na|kk|Eintala|||||||simplex|regular tetrahedron|||||||
reglulegt víðerni|na|hk|Eintala||||||||regular variety|||||||
regluleiki|na|kk|Eintala||||||||regularity|||||||
rós|na|kvk|Eintala||||rósarferill||||rhodonea||||rose|||
rétt horn|na|hk|Eintala||||||||right angle|||||||
réttstæð snúðkeila|ls|hk|Fleirtala||||réttstæð hringkeila|||circular cone, right cone|right circular cone|||||||
réttstæður snúðsívalningur|na|kk|Eintala||||réttstæður hringsívalningur|||circular cylinder, right cylinder|right circular cylinder|||||||
réttstæð keila|ls|hk|Fleirtala|||||||right circular cone|right cone|||||||
réttstæður sívalningur|na|kk|Eintala|||||||right circular cylinder|right cylinder|||||||
réttstæð strýta|na|kvk|Eintala||||réttstæður píramíti||||right pyramid|||||||
rétthyrndur þríhyrningur|na|kk|Eintala||||||||right triangle||||right-angled triangle|||
rétthyrndur|ls|kk|Eintala||||||||right-angled|||||||
rómverskar tölur|na|kvk|Fleirtala||||rómversk tölutákn||||Roman numerals|||||||
rót|na|hk|Eintala||||núllstöð||||root|||||||
rót|na|hk|Eintala||||||||root|||||||
rótarfall|na|hk|Eintala||||||||root function|||||||
rótarpróf|na|hk|Eintala||||||||root test|||||||
rótartré|na|hk|Eintala||||||||rooted tree|||||||
röð|na|kvk|Eintala||||||||row|||||||
regla|na|kvk|Eintala||||||||rule|||||||
reglustika|na|kvk|Eintala||||||||ruler||||straight-edge|||
rússnesk talnagrind|na|kvk|Eintala||||rússnesk kúlnagrind, rússnesk reiknigrind|||abacus, calculating frame, counting frame|schety|||||||
rúm sem fullnægir seinni teljanleikafrumsendu|na||Eintala||||||||second countable space|||||||
rökfræði annarrar stéttar|na|kvk|Eintala||||||||second-order logic|||||||
runa|na|kvk|Eintala|||||||finite sequence, progression|sequence|||||||
runurúm|na|hk|Eintala||||||||sequence space|||||||
runulokaður|ls|kk|Eintala||||||||sequentially closed|||||||
runuþjappaður|ls|kk|Eintala||||||||sequentially compact|||||||
runufullkominn|ls|kk|Eintala||||||||sequentially complete|||||||
runusamleitinn|ls|kk|Eintala||||||||sequentially continuous|||||||
röð|na|kvk|Eintala|||||||finite series|series|||||||
raðarlausn|na|kvk|Eintala||||||||series solution|||||||
rúmferill|na|kk|Eintala||||rúmlægur ferill, undinn ferill||||skew curve||||space curve, spatial curve, twisted curve|||
rúmlægur marghyrningur|na|kk|Eintala||||||||skew polygon|||||||
rúmlægur ferhliðungur|||Eintala||||||||skew quadrilateral|||||||
reiknistokkur|na|kk|Eintala||||||||slide rule|||||||
raufasvæði|na|hk|Eintala||||||||slit-region|||||||
rúmhorn|na|hk|Eintala||||||||solid angle|||||||
