Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
aðskiljanleg jafna,ls,kvk,Eintala,,,,,,,,separable equation,,,,,,,,78
aðskiljanleg lokun,na,,Eintala,,,,aðskiljanlegur hjúpur,,,,separable closure,,,,,,,,79
aðskiljanleg margliða,na,kvk,Eintala,,,,,,,,separable polynomial,,,,,,,,80
aðskiljanleg útvíkkun,na,kvk,Eintala,,,,aðskiljanleg víkkun,,,,separable extension,,,,,,,,81
aðskiljanleikastig,na,hk,Eintala,,,,,,,,degree of separability,,,,"separability degree, separable degree",,,,85
aðskiljanleiki,na,kk,Eintala,,,,,,,,separability,,,,,,,,86
aðskilja,sag,,,,,,"skilja að, greina á milli, aðgreina",,,distinguish,separate,,,,,,,,77
aðskilnaðarfrumsenda,na,kvk,Eintala,,,,,,,,axiom of separation,,,,separation axiom,,,,87
aðskilnaðargreining,na,kvk,Eintala,,,,,,,,discriminatory analysis,,,,"discriminance analysis, discriminant analysis",,,,88
aðskilnaðarregla,na,,Eintala,,,,aðskilnaðarháttur,,,,modus ponens,,,,rule of detachment,,,,89
aðskilnaðarstyrkur,na,kk,Eintala,,,,,,,,discriminatory power,,,,,,,,91
aðskilnaðarstærð,na,kvk,Eintala,,,,,,,,discriminator,,,,,,,,90
aðskilnaður,na,kk,Eintala,,,,,,,,separation,,,,,,,,92
aðskilnaður breytistærða,na,kk,Eintala,,,,,,,,partitioning of variables,,,,separation of variables,,,,93
aðstoðar-,pref,,Eintala,,,,"hjálpar-, viðbótar-",,,,ancillary,,,,,,,,94
aðstreymi,na,hk,Eintala,,,,,,,,advection,,,,,,,,95
afgangsfervik,na,hk,Eintala,,,,,,,,residual dispersion,,,,residual variance,,,,100
afgangsliður,na,,Eintala,,,,leif,,,,remainder term,,,,,,,,101
afgangsróf,na,hk,Eintala,,,,,,,,residual spectrum,,,,,,,,102
