Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
"aðskiljanleg útvíkkun, aðskiljanleg víkkun",0,na,kvk,Eintala,,,,,,,,separable extension,0,,,,,,,,81
aðskiljanleikastig,0,na,hk,Eintala,,,,,,,,"degree of separability, separability degree, separable degree",0,,,,,,,,85
aðskiljanleiki,0,na,kk,Eintala,,,,,,,,separability,0,,,,,,,,86
"aðskilja, skilja að, greina á milli, aðgreina",0,sag,,,,,,,,,distinguish,separate,0,,,,,,,,77
aðskilnaðarfrumsenda,0,na,kvk,Eintala,,,,,,,,"axiom of separation, separation axiom",0,,,,,,,,87
aðskilnaðargreining,0,na,kvk,Eintala,,,,,,,,"discriminatory analysis, discriminance analysis, discriminant analysis",0,,,,,,,,88
"aðskilnaðarregla, aðskilnaðarháttur",0,na,,Eintala,,,,,,,,"modus ponens, rule of detachment",0,,,,,,,,89
aðskilnaðarstyrkur,0,na,kk,Eintala,,,,,,,,discriminatory power,0,,,,,,,,91
aðskilnaðarstærð,0,na,kvk,Eintala,,,,,,,,discriminator,0,,,,,,,,90
aðskilnaður,0,na,kk,Eintala,,,,,,,,separation,0,,,,,,,,92
aðskilnaður breytistærða,0,na,kk,Eintala,,,,,,,,"partitioning of variables, separation of variables",0,,,,,,,,93
"aðstoðar-, hjálpar-, viðbótar-",0,pref,,Eintala,,,,,,,,ancillary,0,,,,,,,,94
aðstreymi,0,na,hk,Eintala,,,,,,,,advection,0,,,,,,,,95
afgangsfervik,0,na,hk,Eintala,,,,,,,,"residual dispersion, residual variance",0,,,,,,,,100
"afgangsliður, leif",0,na,,Eintala,,,,,,,,remainder term,0,,,,,,,,101
afgangsróf,0,na,hk,Eintala,,,,,,,,residual spectrum,0,,,,,,,,102
afgangssetning,0,na,kvk,Eintala,,,,,,,,remainder theorem,0,,,,,,,,103
afgangsskekkja,0,na,kvk,Eintala,,,,,,,,residual error,0,,,,,,,,104
"afgangur, minnsta leif",0,na,,Eintala,Sjá <ref idTerm=686>deiling með afgangi</ref>.,,,,,,,"least non-negative residue, principal remainder, remainder",0,,,,,,,,105
"afkóta, dulráða, aflykla",0,sag,,,,,,,,,"code, encode",decode,0,,,,,,,,106
"afkótun, dulráðning, aflyklun",0,na,kvk,Eintala,,,,,,,"coding, encoding",decoding,0,,,,,,,,107
afleiddur,0,ls,kk,Eintala,,,,,,,,derived,0,,,,,,,,111
afleiddur varpi,0,na,kk,Eintala,,,,,,,,derived functor,0,,,,,,,,112
afleiðanlegur,0,ls,kk,Eintala,,,,,,,,"deducible, derivable",0,,,,,,,,109
afleiðanleiki,0,na,kk,Eintala,,,,,,,,(in logic) derivability,0,,,,,,,,110
"afleiða, afleitt fall",0,na,,Eintala,,,,,,,derivative at a point,"derivative, derived function",0,,,,,,,,108
afleiðing,0,na,kvk,Eintala,,,,,,,,consequence,0,,,,,,,,113
"afleiðingur, afleiðuvirki",0,na,kk,Eintala,,,,,,,,(in algebra and analysis) derivation,0,,,,,,,,114
afleiðsla,0,na,kvk,Eintala,,,,,,,,(in logic) derivation,0,,,,,,,,115
"afleiðsla, ályktun",0,na,kvk,Eintala,,,,,,,proof,"deduction, inference, logical deduction",0,,,,,,,,116
afleiðsluaðferð,0,na,kvk,Eintala,,,,,,,,deductive method,0,,,,,,,,118
afleiðslusönnun,0,na,kvk,Eintala,,,,,,,,deductive proof,0,,,,,,,,119
afleiðslu-,0,pref,,Eintala,,,,,,,,deductive,0,,,,,,,,117
afleitt mengi,0,na,hk,Eintala,,,,,,,,"derived set, derivative set",0,,,,,,,,120
afleitt ríki,0,na,hk,Eintala,,,,,,,,derived category,0,,,,,,,,121
aflfræði,0,na,kvk,Eintala,,,,,,,,mechanics,0,,,,,,,,122
aflfræðigreining,0,na,kvk,Eintala,,,,,,,,"analytic mechanics, analytical mechanics",0,,,,,,,,123
afmáanlegur sérstöðupunktur,0,na,kk,Eintala,,,,,,,,"removable singularity, removable singular point",0,,,,,,,,125
afmáanleg ósamfelldni,0,na,kvk,Eintala,,,,,,,,removable discontinuity,0,,,,,,,,124
"afsannanlegur, hrekjanlegur",0,ls,kk,Eintala,,,,,,,,refutable,0,,,,,,,,127
afsannanleiki,0,na,kk,Eintala,,,,,,,,falsifiability,0,,,,,,,,128
"afsannanleiki, hrekjanleiki",0,na,kk,Eintala,,,,,,,,refutability,0,,,,,,,,129
"afsanna, hrekja",0,sag,,,,,,,,,,refute,0,,,,,,,,126
afstæði,0,na,hk,Eintala,,,,,,,,relativity,0,,,,,,,,133
afstæð samkvæmni,0,na,kvk,Eintala,,,,,,,,relative consistency,0,,,,,,,,131
afstæð svipgrúpa,0,na,kvk,Eintala,,,,,,,,relative homology group,0,,,,,,,,132
"afsönnun, hrakning",0,na,kvk,Eintala,,,,,,,,"refutation, refutal",0,,,,,,,,130
aftasti tölustafur,0,na,kk,Eintala,,,,,,,,last digit,0,,,,,,,,134
aftasti tölustafur,0,na,kk,Eintala,,,,,,,most significant digit,least significant digit,0,,,,,,,,135
afturfærsla,0,na,kvk,Eintala,,,,,,,,backward shift,0,,,,,,,,136
"afturinnsetning, endurinnsetning",0,na,kvk,Eintala,,,,,,,forward substitution,"back substitution, inverse calculation",0,,,,,,,,137
afturmunur,0,na,kk,Eintala,,,,,,,,"ascending difference, backward difference",0,,,,,,,,138
afturvirk skekkjugreining,0,na,kvk,Eintala,,,,,,,,backward error analysis,0,,,,,,,,139
afvinding,0,na,kvk,Eintala,,,,,,,,unwinding,0,,,,,,,,140
af handahófi,0,,,Eintala,,,,,,,,at random,0,,,,,,,,99
Agnesarhaddur,0,na,kk,Eintala,,,,,,,,"Agnesi versiera, versiera, witch of Agnesi",0,,,,,,,,141
alef,0,na,,Eintala,,,,,,,"infinite cardinal, transfinite cardinal",aleph,0,,,,,,,,161
"Aleksandrov-þjöppun, einspunktsþjöppun",0,na,kvk,Eintala,,,,,,,,"Alexandroff compactification, one-point compactification",0,,,,,,,,162
"alflokkur, alheimsflokkur",0,na,kk,Eintala,,,,,,,,universal class,0,,,,,,,,163
algebra með einingarstaki,0,na,kvk,Eintala,,,,,,,,unitary algebra,0,,,,,,,,164
"algebra, algefra",0,na,kvk,Eintala,,,,,,,,algebra,0,,,,,,,,165
"algebruferill, algebrulegur ferill",0,na,kk,Eintala,,,,,,,,algebraic curve,0,,,,,,,,166
"algebruflötur, algebrulegur flötur",0,na,kk,Eintala,,,,,,,,algebraic surface,0,,,,,,,,167
"algebrugrannfræði, algebruleg grannfræði",0,na,kvk,Eintala,,,,,,,,algebraic topology,0,,,,,,,,168
"algebrujafna, algebruleg jafna, margliðujafna",0,na,kvk,Eintala,,,,,,,polynomial equation,algebraic equation,0,,,,,,,,169
algebrulega háður,0,ls,kk,Eintala,,,,,,,,algebraically dependent,0,,,,,,,,177
algebrulega lokaður,0,ls,kk,Eintala,,,,,,,,"algebraically closed, algebraically complete",0,,,,,,,,178
algebrulega óháður,0,ls,kk,Eintala,,,,,,,,algebraically independent,0,,,,,,,,179
"algebrulega samoka stak, samoka stak",0,na,hk,Eintala,,,,,,,conjugate algebraic number,algebraic conjugate,0,,,,,,,,180
algebrulegt fall,0,na,hk,Eintala,,,,,,,,algebraic function,0,,,,,,,,181
algebrulegt mengi,0,na,hk,Eintala,,,,,,,,algebraic set,0,,,,,,,,182
algebrulegt rúm,0,na,hk,Eintala,,,,,,,,algebraic space,0,,,,,,,,183
"algebrulegt talnasvið, talnasvið, talnakroppur",0,na,,Eintala,,,,,,,,"algebraic number field, number field",0,,,,,,,,184
algebrulegt varpvíðerni,0,na,hk,Eintala,,,,,,,,projective algebraic variety,0,,,,,,,,185
algebrulegt víðerni,0,na,hk,Eintala,,,,,,,,algebraic variety,0,,,,,,,,186
algebrulegur sléttuferill,0,na,kk,Eintala,,,,,,,,algebraic plane curve,0,,,,,,,,187
"algebrulegur, algebru-",0,ls,kk,Eintala,,,,,,,,"algebraic, algebraical",0,,,,,,,,188
"algebruleg heiltala, heil algebruleg tala",0,na,kvk,Eintala,,,,,,,,algebraic integer,0,,,,,,,,170
algebruleg lokun,0,na,kvk,Eintala,,,,,,,,algebraic closure,0,,,,,,,,171
algebruleg margfeldni,0,na,kvk,Eintala,,,,,,,,algebraic multiplicity,0,,,,,,,,172
"algebruleg stæða, stæða",0,na,kvk,Eintala,,,,,,,expression,algebraic expression,0,,,,,,,,173
"algebruleg tala, algebrutala",0,na,kvk,Eintala,,,,,,,,algebraic number,0,,,,,,,,174
"algebruleg útvíkkun, algebruleg víkkun",0,na,kvk,Eintala,,,,,,,,algebraic extension,0,,,,,,,,175
algebruleg víðátta,0,na,kvk,Eintala,,,,,,,"non-singular algebraic variety, regular algebraic variety",algebraic manifold,0,,,,,,,,176
algebrumótun,0,na,kvk,Eintala,,,,,,,,algebra homomorphism,0,,,,,,,,189
"algebrumynstur, algebrulegt mynstur",0,na,hk,Eintala,,,,,,,,algebraic structure,0,,,,,,,,190
"algebrurúmfræði, algebruleg rúmfræði",0,na,kvk,Eintala,,,,,,,,algebraic geometry,0,,,,,,,,191
"algebrutalnafræði, algebruleg talnafræði",0,na,kvk,Eintala,,,,,,,,"algebraic number theory, algebraic theory of numbers",0,,,,,,,,192
"algengasta gildi, líklegasta gildi",0,na,hk,Eintala,,,,,,,,"modal value, mode, most probable value",0,,,,,,,,193
algildisflötur,0,na,kk,Eintala,,,,,,,,"modular surface, relief",0,,,,,,,,195
"algildismerki, tölugildismerki",0,na,hk,Eintala,,,,,,,,absolute value sign,0,,,,,,,,196
algildisminnsta leif,0,na,kvk,Eintala,,,,,,,,"least absolute remainder, minimal residue",0,,,,,,,,197
"algildisvægi, alvægi",0,na,hk,Eintala,,,,,,,,absolute moment,0,,,,,,,,198
"algildi, lengd, tölugildi",0,na,hk,Eintala,,,,,,,"modulus, valuation","(of a number) absolute value, numerical value",0,,,,,,,,194
"algjörlega ósamanhangandi, algjörlega ósamhangandi",0,ls,kk,Eintala,,,,,,,,totally disconnected,0,,,,,,,,199
